datetime,registered_count,direct_count,total_count,hour,day_of_month,month,year,day_of_week,is_weekend,date,conditions,temperature_c,perceived_temperature_c,humidity,windspeed_kmh,is_holiday
2011-01-01 00:00:00,13,3,16,0,1,1,2011,5,True,2011-01-01,clear,3.3,3.0,81.0,0.0,False
2011-01-01 01:00:00,32,8,40,1,1,1,2011,5,True,2011-01-01,clear,2.3,2.0,80.0,0.0,False
2011-01-01 02:00:00,27,5,32,2,1,1,2011,5,True,2011-01-01,clear,2.3,2.0,80.0,0.0,False
2011-01-01 03:00:00,10,3,13,3,1,1,2011,5,True,2011-01-01,clear,3.3,3.0,75.0,0.0,False
2011-01-01 04:00:00,1,0,1,4,1,1,2011,5,True,2011-01-01,clear,3.3,3.0,75.0,0.0,False
2011-01-01 05:00:00,1,0,1,5,1,1,2011,5,True,2011-01-01,clouds,3.3,1.0,75.0,6.0,False
2011-01-01 06:00:00,0,2,2,6,1,1,2011,5,True,2011-01-01,clear,2.3,2.0,80.0,0.0,False
2011-01-01 07:00:00,2,1,3,7,1,1,2011,5,True,2011-01-01,clear,1.4,1.0,86.0,0.0,False
2011-01-01 08:00:00,7,1,8,8,1,1,2011,5,True,2011-01-01,clear,3.3,3.0,75.0,0.0,False
2011-01-01 09:00:00,6,8,14,9,1,1,2011,5,True,2011-01-01,clear,7.0,7.0,76.0,0.0,False
2011-01-01 10:00:00,24,12,36,10,1,1,2011,5,True,2011-01-01,clear,9.9,10.0,76.0,17.0,False
2011-01-01 11:00:00,30,26,56,11,1,1,2011,5,True,2011-01-01,clear,8.9,6.0,81.0,19.0,False
2011-01-01 12:00:00,55,29,84,12,1,1,2011,5,True,2011-01-01,clear,11.7,12.0,77.0,19.0,False
2011-01-01 13:00:00,47,47,94,13,1,1,2011,5,True,2011-01-01,clouds,13.6,14.0,72.0,20.0,False
2011-01-01 14:00:00,71,35,106,14,1,1,2011,5,True,2011-01-01,clouds,13.6,14.0,72.0,19.0,False
2011-01-01 15:00:00,70,40,110,15,1,1,2011,5,True,2011-01-01,clouds,12.7,13.0,77.0,20.0,False
2011-01-01 16:00:00,52,41,93,16,1,1,2011,5,True,2011-01-01,clouds,11.7,12.0,82.0,20.0,False
2011-01-01 17:00:00,52,15,67,17,1,1,2011,5,True,2011-01-01,clouds,12.7,13.0,82.0,19.0,False
2011-01-01 18:00:00,26,9,35,18,1,1,2011,5,True,2011-01-01,light_rain,11.7,12.0,88.0,17.0,False
2011-01-01 19:00:00,31,6,37,19,1,1,2011,5,True,2011-01-01,light_rain,11.7,12.0,88.0,17.0,False
2011-01-01 20:00:00,25,11,36,20,1,1,2011,5,True,2011-01-01,clouds,10.8,11.0,87.0,17.0,False
2011-01-01 21:00:00,31,3,34,21,1,1,2011,5,True,2011-01-01,clouds,10.8,11.0,87.0,13.0,False
2011-01-01 22:00:00,17,11,28,22,1,1,2011,5,True,2011-01-01,clouds,10.8,11.0,94.0,15.0,False
2011-01-01 23:00:00,24,15,39,23,1,1,2011,5,True,2011-01-01,clouds,13.6,14.0,88.0,20.0,False
2011-01-02 00:00:00,13,4,17,0,2,1,2011,6,True,2011-01-02,clouds,13.6,14.0,88.0,20.0,False
2011-01-02 01:00:00,16,1,17,1,2,1,2011,6,True,2011-01-02,clouds,12.7,13.0,94.0,17.0,False
2011-01-02 02:00:00,8,1,9,2,2,1,2011,6,True,2011-01-02,clouds,11.7,12.0,100.0,19.0,False
2011-01-02 03:00:00,4,2,6,3,2,1,2011,6,True,2011-01-02,clouds,13.6,14.0,94.0,13.0,False
2011-01-02 04:00:00,1,2,3,4,2,1,2011,6,True,2011-01-02,clouds,13.6,14.0,94.0,13.0,False
2011-01-02 06:00:00,2,0,2,6,2,1,2011,6,True,2011-01-02,light_rain,11.7,12.0,77.0,20.0,False
2011-01-02 07:00:00,1,0,1,7,2,1,2011,6,True,2011-01-02,clouds,10.8,11.0,76.0,13.0,False
2011-01-02 08:00:00,8,0,8,8,2,1,2011,6,True,2011-01-02,light_rain,10.8,11.0,71.0,15.0,False
2011-01-02 09:00:00,19,1,20,9,2,1,2011,6,True,2011-01-02,clouds,9.9,10.0,76.0,15.0,False
2011-01-02 10:00:00,46,7,53,10,2,1,2011,6,True,2011-01-02,clouds,8.9,7.0,81.0,15.0,False
2011-01-02 11:00:00,54,16,70,11,2,1,2011,6,True,2011-01-02,clouds,8.9,6.0,71.0,17.0,False
2011-01-02 12:00:00,73,20,93,12,2,1,2011,6,True,2011-01-02,clouds,8.9,6.0,66.0,20.0,False
2011-01-02 13:00:00,64,11,75,13,2,1,2011,6,True,2011-01-02,clouds,8.9,7.0,66.0,9.0,False
2011-01-02 14:00:00,55,4,59,14,2,1,2011,6,True,2011-01-02,light_rain,8.9,7.0,76.0,13.0,False
2011-01-02 15:00:00,55,19,74,15,2,1,2011,6,True,2011-01-02,light_rain,8.0,6.0,81.0,11.0,False
2011-01-02 16:00:00,67,9,76,16,2,1,2011,6,True,2011-01-02,light_rain,8.0,6.0,71.0,11.0,False
2011-01-02 17:00:00,58,7,65,17,2,1,2011,6,True,2011-01-02,clear,8.0,6.0,57.0,13.0,False
2011-01-02 18:00:00,43,10,53,18,2,1,2011,6,True,2011-01-02,clouds,8.9,6.0,46.0,22.0,False
2011-01-02 19:00:00,29,1,30,19,2,1,2011,6,True,2011-01-02,clear,7.0,3.0,42.0,30.0,False
2011-01-02 20:00:00,17,5,22,20,2,1,2011,6,True,2011-01-02,clear,6.1,2.0,39.0,24.0,False
2011-01-02 21:00:00,20,11,31,21,2,1,2011,6,True,2011-01-02,clear,4.2,-1.0,44.0,22.0,False
2011-01-02 22:00:00,9,0,9,22,2,1,2011,6,True,2011-01-02,clear,3.3,-2.0,44.0,20.0,False
2011-01-02 23:00:00,8,0,8,23,2,1,2011,6,True,2011-01-02,clear,2.3,-1.0,47.0,11.0,False
2011-01-03 00:00:00,5,0,5,0,3,1,2011,0,False,2011-01-03,clear,2.3,-3.0,44.0,24.0,False
2011-01-03 01:00:00,2,0,2,1,3,1,2011,0,False,2011-01-03,clear,1.4,-5.0,44.0,28.0,False
2011-01-03 04:00:00,1,0,1,4,3,1,2011,0,False,2011-01-03,clear,-0.5,-7.0,47.0,26.0,False
2011-01-03 05:00:00,3,0,3,5,3,1,2011,0,False,2011-01-03,clear,-0.5,-7.0,47.0,19.0,False
2011-01-03 06:00:00,30,0,30,6,3,1,2011,0,False,2011-01-03,clear,-1.4,-9.0,50.0,26.0,False
2011-01-03 07:00:00,63,1,64,7,3,1,2011,0,False,2011-01-03,clear,-1.4,-7.0,50.0,13.0,False
2011-01-03 08:00:00,153,1,154,8,3,1,2011,0,False,2011-01-03,clear,-1.4,-8.0,50.0,19.0,False
2011-01-03 09:00:00,81,7,88,9,3,1,2011,0,False,2011-01-03,clear,-0.5,-7.0,43.0,26.0,False
2011-01-03 10:00:00,33,11,44,10,3,1,2011,0,False,2011-01-03,clear,0.5,-5.0,43.0,17.0,False
2011-01-03 11:00:00,41,10,51,11,3,1,2011,0,False,2011-01-03,clear,1.4,-4.0,40.0,22.0,False
2011-01-03 12:00:00,48,13,61,12,3,1,2011,0,False,2011-01-03,clear,2.3,-2.0,35.0,20.0,False
2011-01-03 13:00:00,53,8,61,13,3,1,2011,0,False,2011-01-03,clear,3.3,-2.0,35.0,19.0,False
2011-01-03 14:00:00,66,11,77,14,3,1,2011,0,False,2011-01-03,clear,4.2,-0.0,30.0,19.0,False
2011-01-03 15:00:00,58,14,72,15,3,1,2011,0,False,2011-01-03,clear,4.2,-0.0,30.0,17.0,False
2011-01-03 16:00:00,67,9,76,16,3,1,2011,0,False,2011-01-03,clear,4.2,-0.0,30.0,17.0,False
2011-01-03 17:00:00,146,11,157,17,3,1,2011,0,False,2011-01-03,clear,3.3,-1.0,30.0,15.0,False
2011-01-03 18:00:00,148,9,157,18,3,1,2011,0,False,2011-01-03,clear,3.3,1.0,32.0,7.0,False
2011-01-03 19:00:00,102,8,110,19,3,1,2011,0,False,2011-01-03,clear,1.4,1.0,47.0,0.0,False
2011-01-03 20:00:00,49,3,52,20,3,1,2011,0,False,2011-01-03,clear,1.4,-1.0,47.0,7.0,False
2011-01-03 21:00:00,49,3,52,21,3,1,2011,0,False,2011-01-03,clear,0.5,-3.0,64.0,9.0,False
2011-01-03 22:00:00,20,0,20,22,3,1,2011,0,False,2011-01-03,clear,-1.4,-6.0,69.0,9.0,False
2011-01-03 23:00:00,11,1,12,23,3,1,2011,0,False,2011-01-03,clear,0.5,-2.0,55.0,7.0,False
2011-01-04 00:00:00,5,0,5,0,4,1,2011,1,False,2011-01-04,clear,-0.5,-4.0,55.0,7.0,False
2011-01-04 01:00:00,2,0,2,1,4,1,2011,1,False,2011-01-04,clear,-0.5,-4.0,59.0,7.0,False
2011-01-04 02:00:00,1,0,1,2,4,1,2011,1,False,2011-01-04,clear,-1.4,-6.0,63.0,9.0,False
2011-01-04 04:00:00,2,0,2,4,4,1,2011,1,False,2011-01-04,clear,-1.4,-4.0,63.0,6.0,False
2011-01-04 05:00:00,4,0,4,5,4,1,2011,1,False,2011-01-04,clear,-2.4,-6.0,68.0,7.0,False
2011-01-04 06:00:00,36,0,36,6,4,1,2011,1,False,2011-01-04,clear,-2.4,-6.0,74.0,7.0,False
2011-01-04 07:00:00,92,2,94,7,4,1,2011,1,False,2011-01-04,clear,-2.4,-6.0,74.0,9.0,False
2011-01-04 08:00:00,177,2,179,8,4,1,2011,1,False,2011-01-04,clear,-1.4,-6.0,69.0,11.0,False
2011-01-04 09:00:00,98,2,100,9,4,1,2011,1,False,2011-01-04,clear,-0.5,-6.0,64.0,15.0,False
2011-01-04 10:00:00,37,5,42,10,4,1,2011,1,False,2011-01-04,clouds,-0.5,-7.0,69.0,22.0,False
2011-01-04 11:00:00,50,7,57,11,4,1,2011,1,False,2011-01-04,clear,2.3,-2.0,51.0,20.0,False
2011-01-04 12:00:00,66,12,78,12,4,1,2011,1,False,2011-01-04,clear,2.3,-1.0,51.0,11.0,False
2011-01-04 13:00:00,79,18,97,13,4,1,2011,1,False,2011-01-04,clear,3.3,-1.0,56.0,13.0,False
2011-01-04 14:00:00,54,9,63,14,4,1,2011,1,False,2011-01-04,clear,4.2,1.0,52.0,15.0,False
2011-01-04 15:00:00,48,17,65,15,4,1,2011,1,False,2011-01-04,clear,5.2,2.0,52.0,17.0,False
2011-01-04 16:00:00,68,15,83,16,4,1,2011,1,False,2011-01-04,clear,6.1,3.0,49.0,17.0,False
2011-01-04 17:00:00,202,10,212,17,4,1,2011,1,False,2011-01-04,clear,5.2,2.0,48.0,15.0,False
2011-01-04 18:00:00,179,3,182,18,4,1,2011,1,False,2011-01-04,clear,4.2,1.0,48.0,13.0,False
2011-01-04 19:00:00,110,2,112,19,4,1,2011,1,False,2011-01-04,clear,3.3,1.0,48.0,7.0,False
2011-01-04 20:00:00,53,1,54,20,4,1,2011,1,False,2011-01-04,clear,3.3,1.0,48.0,7.0,False
2011-01-04 21:00:00,48,0,48,21,4,1,2011,1,False,2011-01-04,clear,2.3,2.0,64.0,0.0,False
2011-01-04 22:00:00,34,1,35,22,4,1,2011,1,False,2011-01-04,clear,2.3,1.0,64.0,6.0,False
2011-01-04 23:00:00,9,2,11,23,4,1,2011,1,False,2011-01-04,clear,1.4,-1.0,69.0,6.0,False
2011-01-05 00:00:00,6,0,6,0,5,1,2011,2,False,2011-01-05,clear,1.4,1.0,64.0,0.0,False
2011-01-05 01:00:00,6,0,6,1,5,1,2011,2,False,2011-01-05,clear,-0.5,-3.0,74.0,6.0,False
2011-01-05 02:00:00,2,0,2,2,5,1,2011,2,False,2011-01-05,clear,-0.5,-3.0,74.0,6.0,False
2011-01-05 04:00:00,2,0,2,4,5,1,2011,2,False,2011-01-05,clear,3.3,-1.0,48.0,15.0,False
2011-01-05 05:00:00,3,0,3,5,5,1,2011,2,False,2011-01-05,clear,2.3,-1.0,47.0,11.0,False
2011-01-05 06:00:00,33,0,33,6,5,1,2011,2,False,2011-01-05,clear,1.4,-3.0,47.0,15.0,False
2011-01-05 07:00:00,87,1,88,7,5,1,2011,2,False,2011-01-05,clear,0.5,-4.0,43.0,13.0,False
2011-01-05 08:00:00,192,3,195,8,5,1,2011,2,False,2011-01-05,clear,1.4,-4.0,40.0,20.0,False
2011-01-05 09:00:00,109,6,115,9,5,1,2011,2,False,2011-01-05,clear,2.3,-3.0,37.0,22.0,False
2011-01-05 10:00:00,53,4,57,10,5,1,2011,2,False,2011-01-05,clear,2.3,-3.0,37.0,22.0,False
2011-01-05 11:00:00,34,12,46,11,5,1,2011,2,False,2011-01-05,clear,4.2,-1.0,33.0,22.0,False
2011-01-05 12:00:00,74,5,79,12,5,1,2011,2,False,2011-01-05,clear,4.2,-1.0,33.0,22.0,False
2011-01-05 13:00:00,65,6,71,13,5,1,2011,2,False,2011-01-05,clear,5.2,1.0,30.0,20.0,False
2011-01-05 14:00:00,52,10,62,14,5,1,2011,2,False,2011-01-05,clear,6.1,3.0,28.0,13.0,False
2011-01-05 15:00:00,55,7,62,15,5,1,2011,2,False,2011-01-05,clear,6.1,3.0,28.0,13.0,False
2011-01-05 16:00:00,85,4,89,16,5,1,2011,2,False,2011-01-05,clear,6.1,5.0,28.0,6.0,False
2011-01-05 17:00:00,186,4,190,17,5,1,2011,2,False,2011-01-05,clear,3.3,-1.0,38.0,13.0,False
2011-01-05 18:00:00,166,3,169,18,5,1,2011,2,False,2011-01-05,clear,3.3,-0.0,38.0,9.0,False
2011-01-05 19:00:00,127,5,132,19,5,1,2011,2,False,2011-01-05,clear,3.3,1.0,38.0,7.0,False
2011-01-05 20:00:00,82,7,89,20,5,1,2011,2,False,2011-01-05,clear,2.3,-1.0,47.0,11.0,False
2011-01-05 21:00:00,40,3,43,21,5,1,2011,2,False,2011-01-05,clear,1.4,-3.0,51.0,13.0,False
2011-01-05 22:00:00,41,1,42,22,5,1,2011,2,False,2011-01-05,clear,0.5,-3.0,55.0,9.0,False
2011-01-05 23:00:00,18,1,19,23,5,1,2011,2,False,2011-01-05,clear,1.4,1.0,47.0,0.0,False
2011-01-06 00:00:00,11,0,11,0,6,1,2011,3,False,2011-01-06,clear,0.5,-0.0,55.0,0.0,False
2011-01-06 01:00:00,4,0,4,1,6,1,2011,3,False,2011-01-06,clear,-0.5,-1.0,64.0,0.0,False
2011-01-06 02:00:00,2,0,2,2,6,1,2011,3,False,2011-01-06,clear,-0.5,-1.0,64.0,0.0,False
2011-01-06 04:00:00,1,0,1,4,6,1,2011,3,False,2011-01-06,clouds,-0.5,-3.0,64.0,6.0,False
2011-01-06 05:00:00,4,0,4,5,6,1,2011,3,False,2011-01-06,clouds,-1.4,-4.0,69.0,6.0,False
2011-01-06 06:00:00,36,0,36,6,6,1,2011,3,False,2011-01-06,clouds,-1.4,-5.0,63.0,7.0,False
2011-01-06 07:00:00,95,0,95,7,6,1,2011,3,False,2011-01-06,clouds,-0.5,-1.0,59.0,0.0,False
2011-01-06 08:00:00,216,3,219,8,6,1,2011,3,False,2011-01-06,clear,-0.5,-1.0,59.0,0.0,False
2011-01-06 09:00:00,116,6,122,9,6,1,2011,3,False,2011-01-06,clouds,0.5,-0.0,51.0,0.0,False
2011-01-06 10:00:00,42,3,45,10,6,1,2011,3,False,2011-01-06,clear,1.4,1.0,47.0,0.0,False
2011-01-06 11:00:00,57,2,59,11,6,1,2011,3,False,2011-01-06,clear,2.3,1.0,44.0,6.0,False
2011-01-06 12:00:00,78,6,84,12,6,1,2011,3,False,2011-01-06,clear,4.2,3.0,35.0,0.0,False
2011-01-06 13:00:00,55,12,67,13,6,1,2011,3,False,2011-01-06,clear,4.2,2.0,35.0,7.0,False
2011-01-06 14:00:00,59,11,70,14,6,1,2011,3,False,2011-01-06,clear,5.2,2.0,36.0,11.0,False
2011-01-06 15:00:00,54,8,62,15,6,1,2011,3,False,2011-01-06,clear,5.2,2.0,36.0,0.0,False
2011-01-06 16:00:00,74,12,86,16,6,1,2011,3,False,2011-01-06,clear,4.2,1.0,38.0,11.0,False
2011-01-06 17:00:00,163,9,172,17,6,1,2011,3,False,2011-01-06,clear,2.3,-1.0,51.0,11.0,False
2011-01-06 18:00:00,158,5,163,18,6,1,2011,3,False,2011-01-06,clear,2.3,-1.0,51.0,9.0,False
2011-01-06 19:00:00,109,3,112,19,6,1,2011,3,False,2011-01-06,clear,2.3,1.0,55.0,6.0,False
2011-01-06 20:00:00,66,3,69,20,6,1,2011,3,False,2011-01-06,clear,1.4,-2.0,51.0,11.0,False
2011-01-06 21:00:00,48,0,48,21,6,1,2011,3,False,2011-01-06,clouds,2.3,-2.0,55.0,15.0,False
2011-01-06 22:00:00,51,1,52,22,6,1,2011,3,False,2011-01-06,clouds,2.3,-2.0,51.0,19.0,False
2011-01-06 23:00:00,19,4,23,23,6,1,2011,3,False,2011-01-06,clouds,1.4,-3.0,59.0,13.0,False
2011-01-07 00:00:00,13,4,17,0,7,1,2011,4,False,2011-01-07,clouds,1.4,-3.0,64.0,13.0,False
2011-01-07 01:00:00,5,2,7,1,7,1,2011,4,False,2011-01-07,clouds,1.4,-3.0,69.0,15.0,False
2011-01-07 02:00:00,1,0,1,2,7,1,2011,4,False,2011-01-07,clouds,1.4,-3.0,69.0,15.0,False
2011-01-07 04:00:00,1,0,1,4,7,1,2011,4,False,2011-01-07,clouds,1.4,-2.0,69.0,9.0,False
2011-01-07 05:00:00,5,0,5,5,7,1,2011,4,False,2011-01-07,light_rain,2.3,2.0,55.0,0.0,False
2011-01-07 06:00:00,26,8,34,6,7,1,2011,4,False,2011-01-07,clouds,1.4,1.0,69.0,0.0,False
2011-01-07 07:00:00,76,8,84,7,7,1,2011,4,False,2011-01-07,clear,1.4,-2.0,69.0,9.0,False
2011-01-07 08:00:00,190,20,210,8,7,1,2011,4,False,2011-01-07,clear,1.4,-3.0,51.0,17.0,False
2011-01-07 09:00:00,125,9,134,9,7,1,2011,4,False,2011-01-07,clear,1.4,-4.0,47.0,20.0,False
2011-01-07 10:00:00,47,16,63,10,7,1,2011,4,False,2011-01-07,clear,2.3,-3.0,37.0,22.0,False
2011-01-07 11:00:00,48,19,67,11,7,1,2011,4,False,2011-01-07,clouds,1.4,-3.0,40.0,15.0,False
2011-01-07 12:00:00,50,9,59,12,7,1,2011,4,False,2011-01-07,clouds,1.4,-3.0,37.0,17.0,False
2011-01-07 13:00:00,64,9,73,13,7,1,2011,4,False,2011-01-07,clouds,1.4,-4.0,37.0,19.0,False
2011-01-07 14:00:00,43,7,50,14,7,1,2011,4,False,2011-01-07,clouds,1.4,-3.0,40.0,17.0,False
2011-01-07 15:00:00,63,9,72,15,7,1,2011,4,False,2011-01-07,clouds,1.4,-2.0,37.0,11.0,False
2011-01-07 16:00:00,82,5,87,16,7,1,2011,4,False,2011-01-07,clouds,1.4,-2.0,37.0,11.0,False
2011-01-07 17:00:00,178,9,187,17,7,1,2011,4,False,2011-01-07,clouds,1.4,1.0,37.0,0.0,False
2011-01-07 18:00:00,116,7,123,18,7,1,2011,4,False,2011-01-07,clear,1.4,-1.0,40.0,6.0,False
2011-01-07 19:00:00,92,3,95,19,7,1,2011,4,False,2011-01-07,clear,-0.5,-3.0,55.0,6.0,False
2011-01-07 20:00:00,50,1,51,20,7,1,2011,4,False,2011-01-07,clear,0.5,-2.0,47.0,7.0,False
2011-01-07 21:00:00,39,0,39,21,7,1,2011,4,False,2011-01-07,clear,0.5,-3.0,47.0,9.0,False
